,price,discount,review_count,quantity_sold,rate_shop,shop_follow,count_code,rating_avarage
634,21.000 ₫,-28%,6,141,4.7,110,2,5
635,66.800 ₫,0,61,890,4.5,1126,1,4.4
636,29.979 ₫,0,28,101,4.4,915,0,3.8
637,35.000 ₫,0,2,3,4.5,0,0,5
638,74.000 ₫,0,2,12,4.9,21,1,5
639,180.000 ₫,-10%,42,229,4.5,58,2,0
640,89.600 ₫,0,44,300,4.8,408,1,4.9
641,130.000 ₫,0,7,29,4.5,65,1,4.9
642,57.500 ₫,0,49,451,4.7,339,2,4.6
643,69.000 ₫,-19%,6,32,4.4,36,1,4.8
644,165.000 ₫,0,23,124,4.8,172,1,5
645,89.000 ₫,-32%,16,156,4.7,53,4,4.1
646,69.000 ₫,0,6,18,3.9,151,2,4.3
647,60.000 ₫,0,4,26,4.6,310,3,4.5
648,350.000 ₫,-12%,85,546,4.5,58,2,4.6
649,88.000 ₫,-20%,34,213,4.7,581,4,4.8
650,30.000 ₫,0,0,0,4.6,1843,0,0
651,62.000 ₫,-23%,23,126,4.8,277,1,4.6
652,14.000 ₫,0,2,15,4.2,1331,3,5
653,58.000 ₫,-16%,16,136,4.7,334,3,5
654,39.375 ₫,-37%,6,58,4.8,179,2,4.7
655,28.000 ₫,0,6,140,4.6,59,4,4.5
656,29.000 ₫,0,7,36,4.6,206,3,4.1
657,54.000 ₫,0,12,105,4.6,240,3,4.9
658,105.000 ₫,0,4,42,4.5,1740,1,3.5
659,399.000 ₫,0,7,52,4.6,660,1,4.4
660,125.000 ₫,-31%,0,2,4.6,256,1,0
661,44.000 ₫,0,0,2,4.2,2867,1,0
662,125.000 ₫,-50%,0,416,4.7,645,4,0
663,35.000 ₫,0,2,9,4.2,2867,1,0
664,42.000 ₫,-30%,4,13,4.7,543,4,5
665,100.000 ₫,-17%,22,141,4.5,58,2,4.3
666,99.000 ₫,0,46,504,4.7,212,2,4.8
667,30.000 ₫,-40%,3,42,4.6,223,0,4
668,65.250 ₫,-13%,2,2,5.0,191,3,5
669,29.000 ₫,0,28,261,4.5,106,0,4.8
